Prefix of Website,Course Code,Course Name,Course Description,Prereq,Antireq,Coreq 
INDEV,INDEV475,Contemporary Development Issues,"This course considers contemporary development issues and strategies, including environment, conflict/post-conflict and transition countries, gender, globalization, human rights, culture and religion, and current thinking, many of which are addressed by perspectives from academia, the NGO sector and development agencies.",Prereq: Level at least 4A,None,None
INDEV,INDEV476,Contemporary Issues in Development Practice,"This course focuses on contemporary development issues - environment, gender, migration, climate change, democracy, to name several. It also highlights the ways and means for students to respond to one or more of these issues, particularly as they relate to their field placements.",Prereq: Level at least 4A; International Development students only,None,None
INDEV,INDEV490A,Honours Thesis: Project Preparation,The Honours Thesis/Project provides students with an opportunity to pursue a specific research topic or applied project of their choosing relating to the study of International Development. The paper will be prepared over two semesters. 490A involves the guided preparation of a research/project proposal.,Prereq: Level at least 4A; International Development students only,None,None
INDEV,INDEV490B,Honours Thesis: Project Completion,The Honours Thesis/Project provides students with an opportunity to pursue a specific research topic or applied project of their choosing relating to the study of International Development. The paper will be prepared over two semesters. 490B involves the formal completion of the thesis/project.,Prereq: INDEV 490A,None,None
INDG,INDG201,The Indigenous Experience in Canada,"An introduction to the Indigenous experience in Canada with a broad overview of history, culture, and contemporary issues. This course highlights the holism of indigenous perspectives through assigned readings, discussions, projects, and sharing of personal experiences.",None,None,None
INDG,INDG272,Issues in Contemporary Indigenous Communities in Canada,"An examination of First Nations and Métis cultures and cultural development from the perspective of local indigenous communities. The course will feature lectures, discussions, and occasional guest speakers representative of the wider indigenous community.",ERROR!!!,Antireq: NATST 272,None
INDG,INDG301,Critical Theories of Indigeneity in a Global Perspective,"This cross-cultural and interdisciplinary course critically examines the definitions of, and debates surrounding, indigeneity, drawing on both indigenous and non-indigenous theorists. The course covers a range of themes, from constitutions and peoplehood to epistemologies and ontologies, and draws on a variety of examples from around the globe.",Prereq: INDG/CDNST 201,None,None
INTEG,INTEG10,Knowledge Integration Seminar,"General seminar on inter-disciplinary topics and integrative practices of special interest to INTEG students, faculty, and alumni. INTEG students must register every term.",None,None,None
INTEG,INTEG120,The Art and Science of Learning,"This course introduces students to state-of-the-art scientific research on learning and cognitive adaptability. There are two learning objectives in this course. First, you will learn about how the mind processes information, and will begin developing new habits to facilitate clear and critical thinking in complex, messy, and stressful circumstances. Second, you will learn how to see the social networks you are embedded in, and how they shape what you think, know, and do. You will use this knowledge to identify opportunities and develop strategies for learning, and for the integration and synthesis of different types of knowledge.",None,None,None
INTEG,INTEG121,"Collaboration, Design Thinking, and Problem Solving","A project course in design and problem-solving across various disciplines. Topics include problem-solving methods and issues in design, including ethics, sustainability, and communication in small groups. Applied design projects require group work and draw on the skills of creative and critical thinking. ",None,None,None
INTEG,INTEG210,Making Collaboration Work,"Collaboration and teamwork are essential for solving complex, real-world problems and are therefore in high demand by employers. Yet students rarely have the opportunity to study and apply the theory and best practices for making collaboration work. In this course, you will learn how to leverage this research to acquire a variety of important skills. These include: effective communication in groups, proactively managing group conflict, identifying biases that hinder creativity, and leveraging diversity to improve outcomes. You will also put those skills into practice throughout the course and reflect on how you can apply them in other situations.",Prereq: Level at least 2A; Not open to Knowledge Integration students,None,None
INTEG,INTEG220,Nature of Scientific Knowledge,"This course examines how knowledge is produced in scientific disciplines, including the nature of inquiry, as well as types of evidence and expertise across different fields. The course features significant input from scientific practitioners in the form of guest lectures.",Prereq: Level at least 2A,None,None
INTEG,INTEG221,The Social Nature of Knowledge,"This course examines social aspects of knowledge, including ways that characteristics of individual knowers and their communities affect the acquisition, interpretation, production, and transfer of knowledge. In addition, we analyze the consequences this has for the objectivity of knowledge. The course features significant input from researchers in the humanities and social sciences in the form of guest lectures.",Prereq: Level at least 2A,None,None
INTEG,INTEG230,The Museum Course: Preparation and Field Trip,"Introduction to the issues and intent of the Museum Course. Planning and research for the destination. Field trip to study museums, exhibits, audiences, and curatorial practices on-site in a major museum city. For additional information on itinerary and travel costs, contact the Department. ",Prereq: Knowledge Integration Honours students only or Department Consent.,None,None
INTEG,INTEG231,The Museum Course: Field Trip Project,"Seminar and projects based on field trip study of museums, exhibits, audiences, and curatorial practices.",Prereq: INTEG 230,None,None
INTEG,INTEG251,Creative Thinking,"An introductory, integrative course in the history, psychology, value and practice of creativity across a variety of domains, from scientific research to the fine and performing arts. Students will learn to identify and explain key ideas and historical figures in the study and practice of creative thinking. They'll also learn to reliably generate novel ideas of value, both solo and collaboratively.",ERROR!!!,"Antireq: INTEG 275 Section 1 Taken Winter 2010, 2011, Spring 2011, 2012, Winter 2012",None
INTEG,INTEG275,Special Topics in Knowledge Integration,From time to time courses of special study may be added to the program at the second-year level. Students wishing to take such courses should consult the Department's Undergraduate Officer.,None,None,None
INTEG,INTEG320,The Museum Course: Research and Design,"An introduction to the museum, broadly interpreted as the public face of scholarship. Students work in small groups to research an inter-disciplinary topic of personal interest, in-depth, and design a museum exhibit suitable for a particular audience.",Prereq: Level at least 3A,None,None
INTEG,INTEG321,The Museum Course: Practicum and Presentation,"An introduction to the museum, broadly interpreted as the public face of scholarship. Students construct and exhibit their designs from INTEG 320, and present public talks on the scholarship and curatorial decisions behind their work. ",Prereq: INTEG 320,None,None
INTEG,INTEG340,Thinking Through Research Methods,"This course provides an introduction to empirical research design and
methods with a focus on applications in the social and information sciences and related fields. You will learn about core issues in research design (e.g., sampling) that transcend specific approaches, and about a variety of techniques for collecting and analyzing quantitative and qualitative data. The course will cover both abstract and practical issues related to methodology and decision making in empirical research. You will have the opportunity to develop and workshop proposals that you may wish to pursue in your senior honours thesis. By the end of the course you will be a more informed consumer and have a basic set of skills for designing and implementing your own empirical research projects. Most importantly, you will have a foundation for future learning about research design and methods.",Prereq: Level at least 2A,None,None
INTEG,INTEG375,Special Topics in Knowledge Integration,From time to time courses of special study may be added to the program at the third-year level. Students wishing to take such courses should consult the Department's Undergraduate Officer.,Prereq: Level at least 2A,None,None
INTEG,INTEG420A,Senior Research Project A,"Each student will work on a short research project under the dual direction of a member of the Knowledge Integration Department and an advisor from a discipline related to the topic. The results of this project will be presented in thesis form, and will be critically examined by members of this and, where pertinent, other departments.",Prereq: Level at least 4A Knowledge Integration or instructor consent,None,None
INTEG,INTEG420B,Senior Research Project B,A continuation of INTEG 420A. ,Prereq: INTEG 420/420A,None,None
INTEG,INTEG440,Computational Social Science,"The explosion of digital data is revolutionizing the way we learn about the world. This course focuses on the knowledge and skills necessary for doing high-quality social scientific research with digital data. Students will be introduced to the programming language Python, and will learn to collect and analyze digital data using computational methods. ",Prereq: Level at least 4A., Antireq: INTEG 475 (001) W18,None
INTEG,INTEG441,Hard Decisions and Wicked Problems,"Every day, nuanced decisions are made at a personal level (what job offer to accept), an organizational level (whether to recall a faulty product), and in the form of public policy (when and where to develop renewable energy). This course introduces decision analytic tools for systematically structuring messy problems to identify trade-offs among different decisions and to explore them intelligibly. For public policy problems, the challenges of values conflicts and ""truth decay"" (i.e., the political polarization or outright rejection of facts) will be considered. Additional decision contexts that push the limits of traditional analytic approaches will also be addressed (e.g. wicked problems, deep uncertainty). ",Prereq: Level at least 3A or instructor consent;," Antireq: MSCI 452, INTEG 475 (001) W16, INTEG 475 (002) W18",None
INTEG,INTEG452A,Real World Problem Solving A,"The first part of a two-term senior project course. Students will work as a design group to address a real world problem over the course of the two-term sequence. With the instructor in an advisory role, students will meet with a real world client, typically from outside the university, to understand the client's problem and needs. The focus of the first term will be a comprehensive design brief, background research and the presentation of one or more proposed solutions for the client's approval.",Prereq: Level at least 4A Knowledge Integration.," Antireq: INTEG 475 LEC 001 Winter 2012, 2013, 2014, Fall 2012, 2013; INTEG 475 LEC 002 Fall 2011",None
INTEG,INTEG452B,Real world Problem Solving B,"The culmination of the two-term senior project sequence. Students will continue to develop solutions to meet the client's needs as identified in the first term. The focus of the second term is to continue to prototype, refine, and ultimately implement the solution for the client. In addition to the completed solution, students will present a final complete project brief including an evaluation of the solution together with recommendations for further development.",Prereq: INTEG 452A.," Antireq: INTEG 475 LEC 001 Winter 2012, 2013, 2014, Fall 2012, 2013; INTEG 475 LEC 002 Fall 2011",None
INTEG,INTEG475,Special Topics in Knowledge Integration,"From time to time, courses of special study may be added to the program at the fourth-year level. Students wishing to take such courses should consult the Department's Undergraduate Officer.",Prereq: Level at least 3A,None,None
INTEG,INTEG475A,Special Topics in Knowledge Integration,"From time to time, a special study course may be added to the program at the fourth-year level. Students wishing to take this course will need to enroll in INTEG 475B in the following term. Consultation with the instructor is advised prior to enrollment.",Prereq: Level at least 4A Knowledge Integration students,None,None
INTEG,INTEG475B,Special Topics in Knowledge Integration,A continuation of INTEG 475A.,Prereq: INTEG 475A,None,None
INTST,INTST101,Introduction to International Studies,"Conflict and cooperation have been the central problems of international politics throughout history, and remain so today. This course introduces aspects of these problems and attempted solutions. Specific topics and approaches vary by instructor.",None,None,None
ITAL,ITAL101,Introduction to Italian Language 1,An intensive study of the fundamentals of grammar and conversation. The language laboratory will be used.,ERROR!!!,Antireq: ITAL 155,None
ITAL,ITAL102,Introduction to Italian Language 2,"A continuation of ITAL 101, with more emphasis on conversation and everyday uses of language.",Prereq: ITAL 101., Antireq: ITAL 155,None
ITAL,ITAL155,Intensive Introductory Italian Language,"This course has been designed with the student of the University of Waterloo School of Architecture in mind. It aims to present the basic principles of the Italian language, geography, and culture in a practical and efficient way in order to facilitate the transition to life in Italy during the student's period of study abroad. Throughout the course, the goal of practical, communicative competence will be emphasized and cultivated via in-class activities and assignments focusing on five areas of performance: listening, speaking, reading, writing, and culture.",ERROR!!!,"Antireq: ITAL 101, 102",None
ITAL,ITAL201,Intermediate Italian 1,Advanced study of grammar. Conversation sessions based on intermediate-level readings reflecting contemporary Italian life. Intensive practice in the spoken and written language.,Prereq: ITAL 102 or 155,None,None
ITAL,ITAL202,Intermediate Italian 2,A continuation of ITAL 201.,Prereq: ITAL 201,None,None
ITAL,ITAL251,Issues in Contemporary Italian Society,"Through lectures, class discussions, and compositions in Italian, this course studies diverse aspects of contemporary Italian society including politics, history, the arts, and popular culture.","Prereq: ITAL 201, 202",None,None
ITAL,ITAL255,Italian for Business and Technology,"This course strengthens writing skills in Italian with emphasis on technological vocabulary, composition, business terminology, and correspondence.",Prereq: ITAL 251,None,None
ITAL,ITAL311,Medieval Italian Literature,"An introduction to the Italian literature of the Middle Ages, with special reference to selections from the major works by Dante, Petrarch, and Boccaccio. ","Prereq: ITAL 201, 202",None,None
ITAL,ITAL312,Renaissance Italian Literature,"An introduction to the Italian literary production of the fifteenth and sixteenth centuries, focusing on selections from the major works of the period, including some by Machiavelli, Ariosto, and Tasso. ","Prereq: ITAL 201, 202",None,None
ITAL,ITAL370,Women Writers of the Italian Renaissance,"This course explores selected works by women writers of the Italian 16th century by focusing on their modes of adherence or challenges to the patriarchal literary and cultural canon of the day. It will examine early modern gender issues and innovative forms of self-expression as reflected in the writings of such women as Veronica Franco, Gaspara Stampa, Vittoria Colonna, Tullia D'Aragona, and Isabella di Morra. The course attempts to explore these writers' stances as both consumers and producers of culture, as well as their contribution to the debate on women fashionable at the time.","Prereq: ITAL 201, 202; Level at least 3A",None,None
ITAL,ITAL391,The Italian Novel and Cinema,A survey of some of the principal novels of the twentieth century in Italy in association with their cinematic versions by eminent Italian film directors. ,"Prereq: ITAL 201, 202",None,None
ITAL,ITAL392,Modern Italian Poetry and Theatre,"This course studies the works of major Italian poets and playwrights, modern and contemporary, paying special attention to works by women authors. ","Prereq: ITAL 201, 202",None,None
ITAL,ITAL394,Italian Studies in Italy,"Italian literature, art, culture and history studied abroad in Italy. ",None,None,None
ITAL,ITAL396,Special Topics/Directed Readings,This course gives the student an opportunity to study authors and works of special interest which are not covered in other courses. ,None,None,None
ITAL,ITAL397,Special Topics/Directed Readings,Winter term of ITAL 396/ITALST 396. ,None,None,None
ITALST,ITALST111,"Women, Family, Sex and Tradition","The course studies the themes of family, sex, and tradition as well as violence and identity as they are addressed in the art, the cinema, and the literature of Italian women. ",None,None,None
ITALST,ITALST260,Great Works in Italian Literature,This course is a chronological survey of Italian literature from the thirteenth century to the twentieth century. It will introduce the student to the most representative works in Italian literature. Special emphasis will be given to literary and cultural backgrounds of the authors and their works. ,Prereq: Level at least 2A,None,None
ITALST,ITALST265,"Mafia Culture and the Power of Symbols, Rituals, and Myth","The course analyzes the visual media representation of the Mafia in North America. It focuses on the manner in which North American visual culture often glorifies the Italian Mafiosi's lifestyle. As this characterization of both the Mafia and the Mafiosi began with the archetypal figures of the bosses, special attention will be given to the visual practices of the 1930s, to Francis Ford Coppola's ""The Godfather"" trilogy, as well as to the television series ""The Sopranos."" The goal is to deconstruct the romanticized portrayal of the Italian and Italian-American gangster lifestyle created on visual media and television by analyzing the atrocities committed by organized crime. ",ERROR!!!,Antireq: ITALST 396 taken Winter 2017 (Topic: Mafia Culture and Myth),None
ITALST,ITALST270,Modern Italy,"An examination of the evolution of modern Italy from 1789 to the present. The events which transformed Italy from a ""geographic expression"" into a modern unified state, including economic, social, political, and cultural developments, will be studied. ",Prereq: Level at least 2A,None,None
ITALST,ITALST271,Italian Canadian Experience,"An examination of Canada's fourth largest ethno-cultural group, from the early colonial period to the present. Emphasis will be placed on the changing nature of immigration and the evolution of the Italian community since the late nineteenth century. ",Prereq: Level at least 2A,None,None
ITALST,ITALST291,Italian Culture and Civilization 1,"A survey of developments in Italian culture -- history, literature, and the arts -- up to and including the Renaissance. ",Prereq: Level at least 2A,None,None
ITALST,ITALST292,Italian Culture and Civilization 2,"A survey of developments in Italian culture -- history, literature, painting, and music -- in the post-Renaissance period, with emphasis on modern Italy. ",Prereq: Level at least 2A,None,None
ITALST,ITALST311,Medieval Italian Literature,"An introduction to the Italian literature of the Middle Ages, with special reference to selections from the major works by Dante, Petrarch, and Boccaccio. ",Prereq: Level at least 2B,None,None
ITALST,ITALST312,Renaissance Italian Literature,"An introduction to the Italian literary production of the fifteenth and sixteenth centuries, focusing on selections from the major works of the period, including some by Machiavelli, Ariosto, and Tasso. ",Prereq: Level at least 2B,None,None
ITALST,ITALST360,Dante's Divine Comedy,"This course examines the various strands of what is one of the greatest works in Western literature, Dante's Divine Comedy. The course will engage students in a critical reading of the text's various layers of meaning, which emphasize perennial issues of our human condition. ",Prereq: Level at least 2B,None,None
ITALST,ITALST370,Women Writers of the Italian Renaissance,"This course explores selected works by women writers of the Italian 16th century by focusing on their modes of adherence or challenges to the patriarchal literary and cultural canon of the day. It will examine early modern gender issues and innovative forms of self-expression as reflected in the writings of such women as Veronica Franco, Gaspara Stampa, Vittoria Colonna, Tullia D'Aragona, and Isabella di Morra. The course attempts to explore these writers' stances as both consumers and producers of culture, as well as their contribution to the debate on women fashionable at the time.",Prereq: Level at least 3A,None,None
ITALST,ITALST391,The Italian Novel and Cinema,A survey of some of the principal novels of the twentieth century in Italy in association with their cinematic versions by eminent Italian film directors. ,Prereq: Level at least 2A,None,None
ITALST,ITALST392,Modern Italian Poetry and Theatre,"This course studies the works of major Italian poets and playwrights, modern and contemporary, paying special attention to works by women authors. ",Prereq: Level at least 2A,None,None
ITALST,ITALST394,Italian Studies in Italy,"Italian literature, art, culture and history studied abroad in Italy. ",None,None,None
ITALST,ITALST396,Special Topics/Directed Readings,This course gives the student an opportunity to study authors and works of special interest which are not covered in other courses. ,Prereq: Level at least 3A,None,None
ITALST,ITALST397,Special Topics/Directed Readings,Winter term of ITAL 396/ITALST 396. ,Prereq: Level at least 3A,None,None
JAPAN,JAPAN101R,First-Year Japanese 1,"An introductory course for students who have little or no knowledge of Japanese to develop basic listening, speaking, reading, and writing skills. Practical oral and written exercises incorporating the Hiragana Writing System provide a firm grammatical foundation for further study. ",ERROR!!!,Antireq: JAPAN 111R,None
JAPAN,JAPAN102R,First-Year Japanese 2,"Listening, speaking, reading, and writing skills acquired in JAPAN 101R are further developed. Practical oral and written exercises incorporating the Katakana Writing System are used to develop a more solid grammatical base.",Prereq: JAPAN 101R or 111R., Antireq: JAPAN 112R,None
JAPAN,JAPAN111R,Japanese for Business 1,"An introductory course to develop basic comprehension, speaking, reading, and writing skills specifically related to the Japanese business culture. This course is designed for students with little or no previous knowledge of Japanese. ",ERROR!!!,Antireq: JAPAN 101R,None
JAPAN,JAPAN112R,Japanese for Business 2,"A continuation of JAPAN 111R designed to further develop listening, speaking, reading, and writing skills. Language skills required for the business environment are stressed.",Prereq: JAPAN 101R or 111R., Antireq: JAPAN 102R,None
JAPAN,JAPAN201R,Second-Year Japanese 1,"A continuation of the study of grammar and vocabulary through development of listening, reading, writing, and speaking skills. Some study of Japanese culture is also included. By the end of the course, 120 Kanji (Chinese characters in their Japanese readings) will have been introduced.",Prereq: JAPAN 102R or 112R,None,None
JAPAN,JAPAN202R,Second-Year Japanese 2,"In this course, students continue to develop their language skills with an increased emphasis on spoken Japanese. In addition, students work on improving grammatical accuracy and vocabulary development as well as continue to acquire basic information about Japanese culture. The writing of an additional 200 Kanji is taught.",Prereq: JAPAN 201R,None,None
JAPAN,JAPAN301R,Third-Year Japanese 1,"This course concentrates on advanced conversation, polite forms, and idioms. It provides an opportunity to revise and practise the Hiragana and Katakana writing forms. Upon completion, students should be able to write 800 characters and use a Japanese dictionary with ease.",Prereq: JAPAN 202R,None,None
JAPAN,JAPAN302R,Third-Year Japanese 2,"This course builds on the materials learned in JAPAN 301R by employing current newspaper articles for reading practice, thematic discussions, and writing exercises in order to enhance students' skill in the use of the Japanese language.",Prereq: JAPAN 301R,None,None
JAPAN,JAPAN391R,Special Topics,This course deals with advanced topics in Japanese language and literature. Students are expected to have at least an intermediate level of language proficiency. ,Prereq: JAPAN 202R,None,None
JS,JS105A,Classical Hebrew 1,"Biblical Hebrew for beginners. A study of the alphabet, and some of the basic vocabulary and grammar of the language. ",None,None,None
JS,JS105B,Classical Hebrew 2,A continuation of RS 131/JS 105A. Most of the rules of grammar will be covered in this course and students will begin to read texts in the original language. ,Prereq: JS 105A/RS 131,None,None
JS,JS114,Jews and Jewishness,"This course examines the central elements that make up contemporary Jewish identity/identities, traditional and otherwise, with particular focus on the North American Jewish experience and the nature of Jewish modernity. It explores historical, literary, religious, and social issues that have contributed to the formation of these identities.",None,None,None
JS,JS120,Relationships in the Bible (Old Testament),"Students will be introduced to the Hebrew Bible by way of selected readings which deal with a particular aspect of the human predicament. The focus will be on exploring relationships via narrative passages in the Old Testament and particularly in the Book of Genesis. The following relationships will be discussed: (a) Spousal (b) Human/God (c) Parent/child (d) Siblings (e) Gender issues in narratives of rape, incest, seduction and dominance. ",None,None,None
JS,JS125,Great Texts in the Jewish Tradition,"This course will trace the development of biblical exegesis in the Jewish tradition. Interpretive methods and approaches to problems in the text such as redundancy, contradiction, and gaps will be surveyed, commencing with the Bible itself, through the classical period of the Talmud and concentrating on major medieval commentators. (The biblical episode of the 'Binding of Isaac' will be used as a paradigm to illustrate various approaches to the text.) ",None,None,None
JS,JS130,Power and Corruption in the Bible (Old Testament),"This course will deal with the period of the Prophets, e.g., Joshua, Kings, and Samuel. It will examine the uses and abuses of power analyzing the historical narratives and study the conflict between Saul and David, the political as well as the moral rise and fall of David. ",None,None,None
JS,JS131,Big Ideas of the Bible,"The Bible is the most translated and most read document in human history. This course explores central biblical ideas, from creation to the end of time, violence to redemption, and political intrigue to family ties, and examines their impact on Judaism, Christianity, and Western Culture. ",None,None,None
JS,JS203,Jewish Responses to the Holocaust,"The catastrophe and devastation of the Holocaust and the radical nature of its evil demanded responses within contemporary Jewish thought, identity, and experience. This course will explore philosophical, theological (Jewish law, rabbinic), literary (novels, poetry, memoirs, plays), and artistic (museums, memorials) attempts to deal with the issues the Holocaust raises. ",None,None,None
JS,JS205,The Hebrew Prophets,"A study of the biblical prophets with special attention to their religious experience, social critique, visions of the future, and the writings that bear their names. ",None,None,None
JS,JS210,Jewish Philosophy,"The course will explore the thought of various Jewish scholars throughout history on issues that were vital to their faith. The texts studied will be representative of the philosophical and rabbinic traditions on such matters as the nature of God, the problem of evil, creation, miracles, prophecy, and providence. ",None,None,None
JS,JS211,Kabbalah: Jewish Mysticism,"This course will survey the roots, history, and symbolism of the Jewish mystical tradition known as Kabbalah. Students will be introduced to the major texts, charismatic mystical masters, and schools of Kabbalah, beginning with the ancient Rabbis through to contemporary exponents such as Hasidim and messianic groups. Particular attention will be focused on the Zohar (Book of Splendour) and popular appeals to the mystical tradition. ",None,None,None
JS,JS215,Visions of Israel in Judaism: From Biblical to Modern Times,"This course surveys the significance of the land of Israel in Judaism from historical, textual, and religious perspectives. Topics covered include the politics of Ancient Israel, the concept of Israel in prayer and the rabbinic and medieval Jewish imagination, portrayals of Israel in Christian and Muslim texts, and the origins, visions, and challenges of Zionism and the modern State of Israel. ",None,None,None
JS,JS217,Judaism,"An introduction to the religious tradition of the Jews, in terms of beliefs, practices, ideals, and institutions from the beginning to the present time. ",None,None,None
JS,JS233,The Holocaust and Film,"An examination of the Holocaust as portrayed in feature films and documentaries. Do cinematic attempts capture the horror of the Holocaust faithfully, or trivialize it? The background to anti-semitism, use of religious imagery in propaganda films, and what counts as ""success"" or ""failure"" in cinematic representations are discussed. ",None,None,None
JS,JS236,Paul: Life and Letters,"The career and thought of the apostle Paul, at once a Jew, a Graeco-Roman, and a Christ believer, living within the Roman Empire. Attention is given to issues such as spirit, Jewish Law, grace, freedom and slavery, Christ, church, politics, gender and sexuality. ",None,None,None
JS,JS237,Insiders and Outsiders in the Bible,"This course explores the tension between insiders and outsiders in the Bible, examining the rationale for and implications of issues such as purity, holy war, the chosen people, and the Gentiles. ",None,None,None
JS,JS250,Special Topics,One or more special courses will be offered at different times. Consult the Department for current offerings. ,None,None,None
JS,JS301,Canada and the Holocaust,"An analysis of the response to the Holocaust, from 1933 to 1945, and the legacy of the event since the war in Canadian society.",None,None,None
JS,JS338,Seeking Wisdom in the Bible,This course explores the theme of wisdom in the Bible and related literature in the period from ancient Israel to the first century CE. It examines the varied cultural influences on biblical wisdom traditions. ,"Prereq: One of RS 130/JS 131, RS 235, RS/JS 236",None,None
JS,JS350,Special Topics in Jewish Studies,One or more special courses will be offered at different times. Consult the Department for current offerings.,None,None,None
JS,JS450,Special Topics in Jewish Studies,One or more special courses will be offered at different times. Consult the Department for current offerings.,None,None,None
KIN,KIN1,Discussion of Behavioural Issues,This is a discussion course,Prereq: NBAOPT students,None,None
KIN,KIN10,Ergonomics Option Seminar,A seminar for students to present and discuss ergonomic issues regarding their previous semester's work term and to participate in debate of ergonomic issues,Prereq: Ergonomics Option Plan students only,None,None
KIN,KIN100,Human Anatomy: Limbs and Trunk,Functionally-oriented regional anatomy of the limbs and trunk. A brief introduction to neuroanatomy is included.,None,None,None
KIN,KIN100L,Human Anatomy Lab,"Regional gross anatomy of the limbs and back (and the central nervous and cardiovascular systems, briefly) is examined using pre-dissected human cadavers. For the limbs and back, emphasis is placed on structures (muscles, nerves, and bones) involved in movement at the joints.",Prereq: Kinesiology students only,None,None
KIN,KIN104,Fundamentals of Kinesiology,"An introduction to the issues and approaches used in kinesiology. Presentation of case studies will illustrate the foundational knowledge and procedures used by kinesiologists. Emphasis will be placed on practical skills, critical analysis, problem solving, and the integration of knowledge across the breadth of kinesiology.",Prereq: Kinesiology students,None,None
KIN,KIN104L,Fundamentals of Kinesiology Lab,"This lab provides exposure to practical measurement skills in the tests measuring cardiovascular function, neuromuscular function and body composition. Note: Labs offered alternate weeks.",Prereq: Kinesiology students only,None,None
KIN,KIN121,Biomechanics of Human Activity,"Understanding human activity from a mechanical perspective prepares the student to address major issues which include reducing the risk of injury, optimizing exercise prescription, and understanding clinical evaluations. Specifically, concepts related to functional anatomy, muscle and passive tissue mechanics, anthropometry, electromyography, and linked segment mechanics are introduced and applied to clinical, occupational and athletic situations. ","Prereq: KIN 100, PHYS 111",None,None
KIN,KIN121L,Biomechanics of Human Activity Lab,This laboratory course provides student with some of the practical tools used to assess human activity from a biomechanical perspective. The labs have been designed to assist with your knowledge and understanding of material discussed in the KIN 121 lectures. Note: Labs are offered alternate weeks.,Prereq: Kinesiology students,None,None
KIN,KIN140L,Sport Injury Management Lab,"This lab provides exposure and training in the management of injuries in an athletic population. Techniques include musculoskeletal assessment, emergency treatment, taping and splinting supports, heating, icing, stretching, and fitting protective equipment. Current first aid and CPR certification required.",Prereq: Year 1 or 2 Kinesiology students,None,None
KIN,KIN146,Introduction to Human Nutrition,"An introductory course on human nutrition. Students will be introduced to core topics in nutrition including function of nutrients, nutrient requirements, diet assessment and planning, food composition and the complex interrelationships between food, nutrition, and health. Factors that affect the human diet such as biology, psychology, sociology, environment and political policy will also be examined, as well as key areas of nutrition focus for life stage groups.",None,None,None
KIN,KIN202,Physiological and Metabolic Responses and Adaptations to Exercise,"This course is designed to provide students with a molecular, cellular and systems level understanding of the physiological and metabolic responses to different types and intensities of exercise. Physiological and metabolic adaptations to different types of chronic exercise, such as endurance, high-intensity interval and resistance training, will also be examined.",Prereq: BIOL 273,None,None
KIN,KIN202L,Physiological and Metabolic Responses and Adaptations to Exercise Lab,This laboratory course provides students with some of the practical tools used to assess the integrated physiological and metabolic response of the body to exercise. The labs have been designed to assist with your knowledge and understanding of material discussed in the KIN 202 lectures. Note: Labs are offered alternate weeks.,Prereq: Kinesiology students,None,None
KIN,KIN204,Movement Assessment and Exercise Prescription,"This course is designed to provide students with an understanding of movement competency and performance enhancement of apparently healthy individuals. The breadth of tests and assessment tools to determine capabilities with respect to mobility, movement patterns, physical activity, fitness and lifestyle will be covered in detail and practiced and applied in a weekly laboratory.","Prereq: Level at least 2B Kinesiology or Rehabilitation Sciences Minor
students",None,None
KIN,KIN204L,Movement and Exercise Prescription Lab,This laboratory course provides student with some of the practical tools used in movement and exercise prescription assessment. The labs have been designed to assist with your knowledge and understanding of material discussed in the KIN 204 lectures.,Prereq: Kinesiology students,None,None
KIN,KIN217,Human Biochemistry,"An elementary course in human biochemistry including the metabolism and function of proteins, carbohydrates, lipids, enzymatic function, energy metabolism, and introductory genetics. Emphasis is placed on clinical and medical applications.","Prereq: CHEM 120 or 121; Kinesiology, Health Studies or Honours Science students only",None,None
KIN,KIN221,Advanced Biomechanics of Human Movement,"The course is structured to introduce measurement, analytical and computation techniques involving multisegmental, dynamic analysis of human activity. Examples of human activity in occupational, clinical and leisure settings from the perspectives of anthropometry, kinematics, kinetics, energetics, muscle mechanics and electromyography are given. The utility of biomechanical variables in the solution of questions involving human activity is emphasized using lectures and laboratories. Note: Labs offered alternate weeks.","Prereq: KIN 121, MATH 124 or 127",None,None
KIN,KIN221L,Advanced Biomechanics of Human Movement Lab,This laboratory course provides students with some of the practical tools used to assess human activity from a biomechanics perspective. The labs have been designed to assist with your knowledge and understanding of material discussed in the KIN 221 lectures. Note: Labs are offered alternate weeks.,Prereq: Kinesiology students,None,None
KIN,KIN222,Statistical Techniques Applied to Kinesiology,An introduction to descriptive and inferential statistics and the interpretation of data. A major consideration of the course is the use of statistics in the solution of problems in Kinesiology and Health Studies.,Prereq: Kinesiology or Health Studies students only,None,None
KIN,KIN232,Research Design and Statistics in Kinesiology,"An introduction to research design and statistics and its application to Kinesiology and clinical health practice. A major focus is identifying appropriate research methods (including study design, sampling, measurement, and statistical analysis) for a given research question.",Prereq: Kinesiology students only,None,None
KIN,KIN242,Introduction to Movement Disorders,"An introduction to selected movement disorders and their implications for physical activity. The movement disorders examined include those which accompany neuromuscular and perceptual-motor impairment, mental retardation, cardio-vascular and respiratory disease.",Prereq: Level at least 2A,None,None
KIN,KIN250,Sociology of Physical Activity,"An introduction to the sociology of physical activity. The course examines physical activity with respect to settings such as the workplace, educational and health systems, exercise, and sport. Particular attention is directed to a consideration of the social significance of physical activity and the social influences and constraints upon access and participation.",Prereq: SOC 101/101R or 120R,None,None
